pmb_id,source,raw_sent,sbn_str,error,precision,recall,f1,precision_lenient,recall_lenient,f1_lenient
en/p12/d1815,GREW,The street was blocked by a huge truck.,"time.n.08   TPR now
street.n.01
block.v.01  Time -2 Theme -1 Theme +2
huge.a.01
truck.n.01  Attribute -1",,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9285714285714286,0.9285714285714286,0.9285714285714286
en/p12/d2804,GREW,Tom left three days ago.,"time.n.08   TPR now
female.n.02 Name Tom
leave.v.01  Time -2 Agent -1 Manner +2
day.n.03    Agent three
ago.r.01    Time -1",,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.75,0.7058823529411765,0.7272727272727272
en/p12/d3346,GREW,We cultivate rice.,"time.n.08      EQU now
person.n.01    EQU speaker
cultivate.v.01 Time -2 Agent -1 Theme +1
rice.n.01",,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.96,0.96,0.96
en/p12/d2357,GREW,Tom is folding his laundry.,"time.n.08    EQU now
female.n.02  Name Tom
fold.v.01    Time -2 Agent -1 Theme +1
laundry.n.01 User -2",,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9230769230769231,0.9230769230769231,0.9230769230769231
en/p12/d0875,GREW,I'm in love with you.,"time.n.08   EQU now
person.n.01 EQU speaker
love.v.01   Time -2 Theme -1 Agent +1
person.n.01 EQU hearer",,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8518518518518519,0.8518518518518519,0.8518518518518519
en/p12/d2253,GREW,Tom tackled the problem immediately.,"time.n.08        TPR now
female.n.02      Name Tom
tackle.v.01      Time -2 Agent -1 Theme +1 Manner +2
problem.n.02
immediately.r.01",,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9666666666666667,0.9666666666666667,0.9666666666666667
en/p12/d2868,GREW,He's now studying.,"time.n.08  EQU now
male.n.02
now.r.01
study.v.05 Time -3 Agent -2 Manner -1",,0.7777777777777778,1.0,0.8750000000000001,0.782608695652174,1.0,0.878048780487805
en/p12/d2094,GREW,Let's jump into the water.,"time.n.08   EQU now
let.v.01    Time -1 Time +1 Time +2
person.n.01 EQU speaker
jump.v.01   Theme +1
water.n.06",,0.6857142857142857,0.8275862068965517,0.75,0.7,0.84,0.7636363636363636
en/p12/d1850,GREW,Cows abound on that farm.,"time.n.08  EQU now
cow.n.01
bound.a.06 Time -2 Theme -1 Theme +1
farm.n.01",,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8695652173913043,0.8695652173913043,0.8695652173913043
en/p12/d1643,GREW,They are faced with a serious situation.,"time.n.08      TPR now
person.n.01
face.v.01      Time -2 Experiencer -1 Theme +2
serious.a.06
situation.n.02 Attribute -1",,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9285714285714286,0.9285714285714286,0.9285714285714286
en/p12/d1817,GREW,Mary laughed and threw a pillow at me.,"time.n.08   TPR now
female.n.02 Name Mary
laugh.v.01  Time -2 Agent -1 Time +1
throw.v.01  Theme +1 Time +2
pillow.n.01
person.n.01 EQU speaker",,0.8837209302325582,0.7037037037037037,0.7835051546391752,0.8648648648648649,0.6808510638297872,0.7619047619047619
